,id,date,dateYear,dateMonth,dateDay,rating,content
0,1,20220801,2022,08,01,5,"주거래은행으로 잘 사용하고 있어요. 로그인은 패턴이나 비번4자리 지문으로 빠르게 할수있고, 빠른이체 시 OTP사용하지 않아도 되는게 편리합니다. 전체계좌 조회도 편하고 좋습니다. 지문으로 이체시 큰 금액은 opt입력을 해야하는데 이거는 좀 불편하네요~ KB에서 나오는 어플이 너무 많아 정신없는 것도 단점!"
1,2,20220731,2022,07,31,4,항상 잘 사용하고있습니다. 전에는 스타뱅킹 어플을 키면 상단바에 v3가 켜지면서 안전하게 보호하고있습니다 라는게 떴는데 최근 업데이트후에는 뜨지않아서요. 권한허용도 다하고 사용제한그런것도 다 해제했는데 왜 그런건가요. v3앱이 깔려있으면 상단에 안떠도 스타뱅킹보안에는 문제없는건가요? 뜨다가 안뜨니 찜찜해서 글남겨요. 빠른답변 부탁드릴게요
2,3,20220728,2022,07,28,5,kb페이 기능이 기존 바코드 외에 삼페용 무선결제가 가능하게 되어 편리해졋네요. 그런데 바탕화면 위젯이 너무 크고(2×2) kb페이앱의 현장결제 위젯은 1×1이며 바로 카드 터치가 떠서 편리한데 kb뱅크의 것은 들어가서 또 카드 or 포인트리 or 계좌 3개중 하나 고르게 되잇습니다. 앱설정에서 1차 기본 결제하는 수단 등록을 해두면 바로 들어가야 결제할때 편할거 같네요
3,4,20220801,2022,08,01,5,메뉴를 찾기 쉽게 디자인되어 있고 다양한 정보와 이벤트도 많아서 맘에 쏙 들어요. 오픈뱅킹 등록하면 타은행계좌도 모두 조회가능해서 예금과 대출 현황을 관리하기 정말 편합니다. KB스타뱅킹하나만 있으면 굳이 오프라인 은행 갈 일은 없는것 같아요. KB스타뱅킹은 사용하는은행앱 중에 가장 편리해요. 앞으로도 KB스타뱅킹 응원합니다.^^
4,5,20220720,2022,07,20,5,"저는 다른 은행도 이용하는데, 로그인 속도가 확실히 빠른거 같아요... 만족합니다. 너무 답답해서 다른 은행은 대충 8초 정도 걸리는데, 스타뱅킹은 4초 정도 걸리는듯요 KB Pay도 있어서 결제할 때 편하고, 만보기 기능도 있어서 포인트 받는 재미도 있네요. 친구가 스벅 쿠폰 싸게 살 수 있대서 모바일쿠폰샵(?)인가에 들어가니 신박했습니다. 앞으로도 잘 이용하겠습니다 ㅎㅎㅎ"
5,6,20220802,2022,08,02,5,국민은행 인터넷뱅킹을 오래 사용한터라 익숙해서 그런가 아주 편리합니다. 전체적인 디자인도 깔끔하고 다른 은행 앱과 비교해 메뉴구성이 편리합니다. 화면 이동시간도 빠르고 사용자의 편의를 고려해 고객의견이 많이 반영된것 같습니다. 다른 은행 앱도 함께 써본 결과 개인적으로는 스타뱅킹이 제일 편안하네요!
6,7,20220620,2022,06,20,3,"스타알림을 스타뱅킹에 합치는데 대하여, 한번 스타뱅킹에서 알림을 받다가 다시 스타알림으로 돌아왔는데, 글씨체를 지금의 스타알림 처럼 크고 굵게 볼수 있어서면 좋겠습니다. (입출금 색 구분도) 아니면 화면을 확대해서라도 볼수 있게 해 주셨으면 좋겠습니다. ( 휴대폰의 돋보기 사용도 있긴 합니다만) 스타뱅킹 설정에서 큰글씨로 보기 해도 한계가 있는것 같구요, ( 좀 더 선택의 폭을 넓혀서면) 눈이 침침해도 디지털 문화에 적응하려고 노력하는 한사람으로서 화면의 글씨 보기가 훨씬 수월해지기를 기대합니다."
7,8,20220721,2022,07,21,5,"주거래 이용자입니다. 사용이 편리하고 속도가 빨라 좋습니다. 특히 앱내에서 이용가능한 재미있는 이벤트들이 많아 여러번 접속해보게 되네요. 다만 스타알림 등 다른 어플 추가설치가 필요한 점이 조금 불편하네요. 나아가 국민카드, 보험 등 같은 지주 내 계열사들의 서비스까지 통합이용할 수 있는 어플이 나오면 좋을 것 같아요."
8,9,20220728,2022,07,28,5,"앱에는 전반적으로 만족합니다만, 최근에 KB Pay랑 연동되는 것과 관련해서 두 가지 개건사항을 건의 드립니다. 1) 스타뱅킹xKB Pay 바탕화면 위젯 크기가 2x2 인데 이렇게 클 이유가 있나 싶습니다ㅠ 1x1도 만들어주셨으면 합니다. 2) 스타뱅킹을 통해 KB Pay를 들어가서 결제 대기 상태일 때 진동이 너무 쎕니다. 삼성페이 같은 다른 결제앱은 진동이 미미하고, 더욱이 KB Pay 앱도 진동이 미미한데, 스타뱅킹을 통해서 KB Pay로 결제를 하면 진동이 엄청 커서 민망합니다. 유효시간도 45초로 상대적으로 너무 짧구요. 이 부분은 개선이 필요할 것 같습니다~ (참고로, 제 기종은 갤럭시 s10 5g 입니다.)"
9,10,20220729,2022,07,29,5,주거래은행으로 거래한지 20년이 넘었는데 앱은 전반적으로 만족스럽게 잘 쓰고 있어요! 타행 계좌도 등록하여 은행 앱을 이것 저것 안 깔아도 사용 가능하여 너무 편리합니다. 이체 할 일이 있음 빠른 이체도 가능해서 좋습니다. 계좌내역 조회나 송금과 같은 기본적인것들만 위주로 이용하고 있어서 큰 불편함은 없습니다
10,11,20220801,2022,08,01,5,내역확인이나 이체도 쉽게 할 수 있어 편해요. 특별히 큰 불편함없이 잘 쓰고 있습니다. 다만 메뉴간 이동이나 로그인시 앱이 조금 느린 것이 아쉽고 즐겨 사용하는 메뉴를 저장해 놓을 수 있는 마이메뉴를 화면에서 바로 찾아서 이용할 수 있으면 더 편리 것 같아요
11,12,20220802,2022,08,02,5,코로나로 인한 비대면 시대에 은행업무를 너무 편하게 볼수있습니다! 원래 토스를 사용했습니다. 이체할때 손가락 하나면 복잡한 절차가 없어서 간편해서 사용했었습니다. 스타뱅킹도 똑같은 기능이 있어서 더 신뢰가는 스타뱅킹을 주로 사용합니다.
12,13,20220719,2022,07,19,5,"주 거래 은행입니다. 매일 접속하는데 심플하고 편리한 UI로 아주 만족합니다. 5년 동안 국민은행을 이용하면서 지속적으로 업그레이드 되서 이용이 편리해졌습니다. 특히나 로그인을 자주하는 저는 간편로그인으로 인증서나 지문, 패턴 등 여러가지 방법으로 로그인을 할수있어 편리합니다. 특히 OTP없이도 인증이 가능해져서 너무 좋습니다."
13,14,20220627,2022,06,27,2,오늘 업데이트후 앱초기화 화면처럼 갑자기 앱접근권한동의 화면 뜨더니 로그인이 되지 않네요. 그래서 앱 몇번 제거후 다시 설치해도 패턴 로그인 화면으로 넘어가지 않고 계속 로딩중으로 되고 로그인이 안됩니다. 어제 업데이트 전만해도 금방 로그인되어 편리했는데 계속 이러니 진짜 불편합니다. 앱 다시 설치해도 마찬가지고요. 빨리 문제 개선되었으면 합니다.
14,15,20220620,2022,06,20,4,KB스타알림 어플에서 스타뱅킹으로 입출금알림 옮겼는데 스타알림처럼 메모할수 있는 기능이 지문으로 로그인을 해서 출금내역 들어가서 또 눌러야 메모를 하는게 너무 불편합니다. 출금내역 메모는 로그인없이 간편하게 스타일림처럼 메모 할 수 있으면 좋을것같네요. 그리고 스타알림 이 안들어가져서 삭제 후 다시 깔았더니 그 전 입출금내역이 전부 없어 졌네요...
15,16,20220627,2022,06,27,3,"6.27 오후 1시30분 즘 자동업데이트실시 후, 모바일인증서 로그인이 안 되고 로딩만 무한반복되는 현상이 지속되요... 다수에서 발견되는 문제네요... 안드로이드 web view 업데이트 할 게 더 이상 없는 거 보니 이와 별개인듯 합니다. 우선 리브앱으로 이체 중이나 스타뱅킹앱의 빠른 조치 부탁드립니다."
16,17,20220728,2022,07,28,5,"로그인 방식도 다양하고 모바일 인증도 간편하게 받을 수 있어 편합니다, 디자인이 굉장이 깔끔하고 빠른이체를 자주 사용하는데 사용하기 굉장히 쉬워서 좋아요. 전체적으로 다른 은행 앱보다 편리해서 좋습니다."
17,18,20220726,2022,07,26,5,은행 어플 중에 가장 좋은것 같습니다. 요즘 모바일로 업무를 많이 보는데 오류도 없고 안정적이고 사용이 편리합니다. 어떤 메뉴가 어디에 있는지 찾기 쉽게 되어있습니다. 아주 만족하며 사용하고 있습니다
18,19,20220726,2022,07,26,5,국민은행을 오래 거래했는데 간편로그인이나 빠른이체 등 앱이 사용하기 편합니다. 로그인방식도 다양하고 지문설정도 좋습니다. 타사보다 사용이 간편합니다. 단점은 관련어플이 너무 많아요. 편리한 세상입니다.
19,20,20220721,2022,07,21,5,다양한 혜택과 이벤트를 빠르게 알람으로 알려줘서 좋고요. 전체적으로 깔끔하면서도 안정감을 주는 색감과 디자인이 마음에 들어요. 그래서 눈에 보기 편하고 이체등 간편하게 이용할 수 있어서 좋아요. 앞으로도 지금처럼 계속 좋은 정보와 콘텐츠 부탁드립니다!
20,21,20220711,2022,07,11,2,"스타뱅킹 좌측 상단 kb pay 누르면 하얀화면으로 바뀌고 아무것도 안나옵니다. 갤럭시 A32 며칠 전 올라온 최신펌웨어이고,스타뱅킹 앱도 지웠다 새로 깔아도 마찬가지입니다. kb pay앱으로 따로 실행하면 잘 되는데, 스타뱅킹 앱 좌측 상단 kb pay 만 먹통입니다. 스타뱅킹 포인트리 이벤트 참여 하려면 꼭 스타뱅킹 앱에서 kb pay 들어가서 결제해야 한다고 나와있어서 사용하려 하니 안되더라고요."
21,22,20220720,2022,07,20,5,"인터넷뱅킹만 사용하다가 요즘은 휴대폰으로 버스도타고 바로 바로 송금을 하더라고요. 나만 좀 뒤떨어진 느낌이 들어 주거래인 국민은행의 스타뱅킹을 시작하게 되었습니다. 스타뱅킹으로 간편하게 지문인증을 통해서 이체를 하니 정말 신세계입니다. 좀 불안했는데 생체인식으로 인터넷 뱅킹 보다 안전하것 같습니다. 이용해보니, 정말 편리하긴한데, 지출은 좀 늘어나는것 같습니다."
22,23,20220719,2022,07,19,5,"내가 원하는 예금상품 가입을 할수 없어 아쉽지만 ui,ux 계좌조회 이체 주로 사용하는 기능들은 참 잘 정리되어 사용이 편합니다. 로그인시 화면이 바로 넘어가지 않아 기다리는 경우가 가끔 있는데 그것 빼고는 다 좋아요 업데이트 부탁드립니다. 감사합니다."
23,24,20220627,2022,06,27,1,os: 안드로이드 7.0 단말 기종: 갤 S6 edge 최종 업뎃 후 모바일 인증서 로그인이 안 됩니다.(패턴 화면으로 넘어가지 못함.) 앱 삭제 후 다시 설치하면 처음엔 로그인이 되지만 다시 실행하면 또다시 로그인이 안 됩니다. 단말기 환경 설정 內 애플리케이션에서 데이터 삭제를 하면 또 로그인이 되고 다시 실행하면 안 되는 상황이 계속 반복됩니다. 해결해 주세요... T.T
24,25,20220628,2022,06,28,4,"말씀하신대로 kb스타뱅킹 앱 삭제후.플레이스토어에서 새로 앱을 깔았어요~새로 깐 그 한번만 로그인과 접속이 되어 뱅킹이 가능해요..그담번엔 똑같이 로딩화면 자체가 렉이 걸려서..ㅠㅠ그럼,뱅킹하려면 매번 앱을 지웠다가 매번!다시깔아 이용해야된단 말씀이신가요?!빨리 복구쫌 해주세요!"
25,26,20220731,2022,07,31,3,이벤트를 하길래 스타뱅킹 결제를 하려고 해도 인터넷 결제연동도 앱 여는것까지만 되고 결제금액연결도 되지않고 결제되는 곳도 편의점 외에는 없는거 같아서 아쉽네요. 몇번 시도해보다가 안되어 결제포기한 건이 여러개되니 다시 시도하고 싶지 않아지네요...
